MMM
ABT
ABBV
ABMD
ACN
ATVI
ADBE
AMD
AAP
AES
AFL
A
APD
AKAM
ALK
ALB
ARE
ALXN
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
MO
AMZN
AMCR
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
AMGN
APH
ADI
ANSS
ANTM
AON
AOS
APA
AIV
AAPL
AMAT
APTV
ADM
ANET
AJG
AIZ
T
ATO
ADSK
ADP
AZO
AVB
AVY
BKR
BLL
BAC
BK
BAX
BDX
BRK.B
BBY
BIO
BIIB
BLK
BA
BKNG
BWA
BXP
BSX
BMY
AVGO
BR
BF.B
CHRW
COG
CDNS
CPB
COF
CAH
KMX
CCL
CARR
CAT
CBOE
CBRE
CDW
CE
CNC
CNP
CTL
CERN
CF
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CFG
CTXS
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
CXO
COP
ED
STZ
COO
CPRT
GLW
CTVA
COST
COTY
CCI
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DAL
XRAY
DVN
DXCM
FANG
DLR
DFS
DISCA
DISCK
DISH
DG
DLTR
D
DPZ
DOV
DOW
DTE
DUK
DRE
DD
DXC
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMR
ETR
EOG
EFX
EQIX
EQR
ESS
EL
EVRG
ES
RE
EXC
EXPE
EXPD
EXR
XOM
FFIV
FB
FAST
FRT
FDX
FIS
FITB
FE
FRC
FISV
FLT
FLIR
FLS
FMC
F
FTNT
FTV
FBHS
FOXA
FOX
BEN
FCX
GPS
GRMN
IT
GD
GE
GIS
GM
GPC
GILD
GL
GPN
GS
GWW
HRB
HAL
HBI
HIG
HAS
HCA
PEAK
HSIC
HSY
HES
HPE
HLT
HFC
HOLX
HD
HON
HRL
HST
HWM
HPQ
HUM
HBAN
HII
IEX
IDXX
INFO
ITW
ILMN
INCY
IR
INTC
ICE
IBM
IP
IPG
IFF
INTU
ISRG
IVZ
IPGP
IQV
IRM
JKHY
J
JBHT
SJM
JNJ
JCI
JPM
JNPR
KSU
K
KEY
KEYS
KMB
KIM
KMI
KLAC
KSS
KHC
KR
LB
LHX
LH
LRCX
LW
LVS
LEG
LDOS
LEN
LLY
LNC
LIN
LYV
LKQ
LMT
L
LOW
LYB
MTB
MRO
MPC
MKTX
MAR
MMC
MLM
MAS
MA
MKC
MXIM
MCD
MCK
MDT
MRK
MET
MTD
MGM
MCHP
MU
MSFT
MAA
MHK
TAP
MDLZ
MNST
MCO
MS
MOS
MSI
MSCI
MYL
NDAQ
NOV
NTAP
NFLX
NWL
NEM
NWSA
NWS
NEE
NLSN
NKE
NI
NBL
NSC
NTRS
NOC
NLOK
NCLH
NRG
NUE
NVDA
NVR
ORLY
OXY
ODFL
OMC
OKE
ORCL
OTIS
PCAR
PKG
PH
PAYX
PAYC
PYPL
PNR
PBCT
PEP
PKI
PRGO
PFE
PM
PSX
PNW
PXD
PNC
PPG
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QRVO
PWR
QCOM
DGX
RL
RJF
RTX
O
REG
REGN
RF
RSG
RMD
RHI
ROK
ROL
ROP
ROST
RCL
SPGI
CRM
SBAC
SLB
STX
SEE
SRE
NOW
SHW
SPG
SWKS
SLG
SNA
SO
LUV
SWK
SBUX
STT
STE
SYK
SIVB
SYF
SNPS
SYY
TMUS
TROW
TTWO
TPR
TGT
TEL
FTI
TDY
TFX
TXN
TXT
TMO
TIF
TJX
TSCO
TT
TDG
TRV
TFC
TWTR
TYL
TSN
UDR
ULTA
USB
UAA
UA
UNP
UAL
UNH
UPS
URI
UHS
UNM
VFC
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VIAC
V
VNO
VMC
WRB
WAB
WMT
WBA
DIS
WM
WAT
WEC
WFC
WELL
WST
WDC
WU
WRK
WY
WHR
WMB
WLTW
WYNN
XEL
XRX
XLNX
XYL
YUM
ZBRA
ZBH
ZION
ZTS
ANA.MC
ACX.MC
SAB.MC
NTGY.MC
COL.MC
BKT.MC
AENA.MC
REE.MC
CABK.MC
IBE.MC
SAN.MC
MTS.MC
ENG.MC
ACS.MC
TEF.MC
MAP.MC
MRL.MC
SGRE.MC
VIS.MC
MEL.MC
CLNX.MC
GRF.MC
FER.MC
ELE.MC
REP.MC
BBVA.MC
ITX.MC
AMS.MC
ENC.MC
IAG.MC
ROSN.ME
SBERP.ME
SBER.ME
LKOH.ME
GAZP.ME
NVTK.ME
GMKN.ME
TATN.ME
TATNP.ME
SNGS.ME
SNGSP.ME
NLMK.ME
CHMF.ME
ALRS.ME
YNDX.ME
MAGN.ME
PLZL.ME
MTSS.ME
VTBR.ME
MGNT.ME
IRAO.ME
PHOR.ME
HYDR.ME
TRNFP.ME
POLY.ME
PIKK.ME
MOEX.ME
FEES.ME
RTKM.ME
RTKMP.ME
RSTI.ME
NMTP.ME
AFLT.ME
AFKS.ME
MVID.ME
TRMK.ME
MTLRP.ME
UWGN.ME
MTLR.ME
MFON.ME
RDSB.L
RDSA.L
HSBA.L
ULVR.L
BP.L
BATS.L
GSK.L
AZN.L
RIO.L
DGE.L
RB/.L
GLEN.L
PRU.L
VOD.L
LLOY.L
CCL.L
REL.L
RBS.L
CPG.L
BARC.L
NG.L
IMB.L
AAL.L
TSCO.L
BT/A.L
STAN.L
CRH.L
BA/.L
AV/.L
RR.L
ABF.L
EXPN.L
LSE.L
LGEN.L
FERG.L
WPP.L
IAG.L
SN/.L
SSE.L
AHT.L
HL/.L
MNDI.L
MRO.L
CCH.L
INF.L
SLA.L
III.L
BRBY.L
WTB.L
ANTO.L
SDR.L
CNA.L
TUI.L
EVR.L
BNZL.L
ITRK.L
SMT.L
NXT.L
PSN.L
SKG.L
SBRY.L
JMAT.L
IHG.L
PSON.L
CRDA.L
LAND.L
SMDS.L
DCC.L
SGRO.L
RSA.L
FRES.L
SGE.L
ITV.L
MRW.L
BLND.L
OCDO.L
ADM.L
STJ.L
SMIN.L
RTO.L
BDEV.L
TW/.L
KGF.L
EZJ.L
HLMA.L
RMG.L
BKG.L
UU/.L
HIK.L
MGGT.L
RMV.L
SVT.L
SPX.L
HSX.L
JD.L
PHNX.L
POLYP.L
MNG.L
FLTRF.L
BHPB.L
AUTOA.L
AVV.L
SAP.DE
BAYN.DE
SIE.DE
ALV.DE
BAS.DE
DTE.DE
VOW3.DE
DAI.DE
BMW.DE
ADS.DE
HEN3.DE
DPW.DE
FRE.DE
CON.DE
LIN.DE
FME.DE
MUV2.DE
BEI.DE
WDI.DE
IFX.DE
DB1.DE
VNA.DE
DBK.DE
EOAN.DE
RWE.DE
HEI.DE
TKA.DE
MRK.DE
LHA.DE
1COV.DE
MC.PA
FP.PA
OR.PA
SAN.PA
AIR.PA
BNP.PA
KER.PA
RE.PA
DG.PA
SAF.PA
AI.PA
BN.PA
SU.PA
RMS.PA
ACA.PA
RI.PA
ORA.PA
GLE.PA
ENGI.PA
VIV.PA
EI.PA
RNO.PA
UG.PA
SGO.PA
ML.PA
DSY.PA
LR.PA
UL.PA
STM.PA
EN.PA
SW.PA
CA.PA
CAP.PA
AC.PA
FTI.PA
PUB.PA
MT.PA
ATO.PA
VIE.PA
FR.PA
WLN.PA
NESN.SW
NOVN.SW
ROG.SW
UBSG.SW
ABBN.SW
ZURN.SW
CFR.SW
CSGN.SW
LHN.SW
LONN.SW
SCMN.SW
UHR.SW
SGSN.SW
GIVN.SW
GEBN.SW
SLHN.SW
BAER.SW
ADEN.SW
SRENH.SW
SIKA.SW
SWED-A.ST
SEB-A.ST
AZN.ST
KINV-B.ST
ATCO-A.ST
SKF-B.ST
ELUX-B.ST
GETI-B.ST
TELIA.ST
HM-B.ST
SWMA.ST
SHB-A.ST
ERIC-B.ST
INVE-B.ST
ABB.ST
TEL2-B.ST
SCA-B.ST
SAND.ST
ESSITY-B.ST
SSAB-A.ST
VOLV-B.ST
ALIV-SDB.ST
ALFA.ST
BOL.ST
ATCO-B.ST
HEXA-B.ST
SKA-B.ST
NDA-SE.ST
ASSA-B.ST
SECU-B.ST
ABI.BR
INGA.BR
ENGI.BR
KBC.BR
UCB.BR
GBLB.BR
SOLB.BR
UMI.BR
AGS.BR
GLPG.BR
COLR.BR
PROX.BR
SOF.BR
TNET.BR
ACKB.BR
APAM.BR
BPOST.BR
COFB.BR
ONTEX.BR
BEKB.BR
KESKOB.HE
STERV.HE
KEMIRA.HE
KOJAMO.HE
METSB.HE
NELES.HE
HUH1V.HE
SAMPO.HE
OUT1V.HE
KNEBV.HE
TYRES.HE
CGCBV.HE
ORNBV.HE
FORTUM.HE
TIETO.HE
TELIA1.HE
NESTE.HE
KCR.HE
ELISA.HE
NOKIA.HE
UPM.HE
NDA-FI.HE
WRT1V.HE
MOCORP.HE
VALMT.HE
VET
LUN
RY
TD
BNS
CNR
SU
ENB
BMO
BAM/A
CM
CNQ
TRP
BCE
MFC
NTR
TRI
CP
ATD/B
QSR
RCI/B
IMO
SLF
GWO
T
WCN
L
MG
HSE
PPL
SHOP
NA
GIB/A
CSU
FFHU
BIP-U
TCKB
FTS
ECA
ABX
WEED
SAP
FNV
CVE
IFC
DOL
OTC
SJR/B
WN
POW
H
VRX
FM
BBD/B
CCL/B
MRU
CTC/A
AEM
WPM
SNC
EMA
GOOS
ONEX
IPL
IGM
CU
MX
GIL
REI-U
WSP
AC
KEY
BB
BBU-U
CAR-U
BEP-U
CAE
BPY-U
EMP/A
AQN
TOU
QBR/B
DOO
HR-U
IAG
PKI
TRQ
ALA
VII
FTT
PSK
CIX
WFT
TOY
TIH
KL
RBA
FCR
ARX
CCO
X
K
APH
CPG
AP-U
TFII
ACO/X
SRU-U
MFI
MIC
LNR
ERF
CIGI
OSB
NPI
STN
WCP
PXT
CFP
DSG
PBH
NFI
CCA
YRI
CSH-U
CWB
WPK
SJ
RNW
CPX
BTO
PAAS
GEI
GC
BCB
EFN
IVN
FSV
GRT-U
MAXR
KXS
BYD-U
OGC
AGI
IMG
BEI-U
SPB
MEG
ATA
ENGH
EDV
CGX
CUF-U
BTE
TA
TCL/A
CLS
PVG
AX-U
POU
GTE
WTE
LB
LIF
SCL
PSI
BLX
PEY
INE
MSI
NVA
HBM
RUS
CG
MTL
NG
OR
KEL
D-U
NVU-U
TCN
CHE-U
FR
NWC
TOG
KMP-U
SSRM
EFX
SES
IFP
FRU
PD
ECN
BIR
CEU
CRR-U
HCG
AIF
GUD
MRE
CAS
ITP
ZZZ
BAD
CHR
EIF
ESI
TXG
ARE
SW
NXE
SSL
ELD
MAG
UNS
FVI
